median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
54,Dayana Yastremska,46,21,4.7%,6.9%,58.5%,63.8%,46.9%,17.6%,23.5%,9.4%,6.5%,100.4,104.1,97.4,88.4,90.3,88.1,4.2%,58.4%,3.2%,55.9%,44.1%,44.3%,48.2%,29.6%,41.8%,50.0%,41.6%,51.9%,21.5%,30.6%,45.6%,87,63.2%,58.6%,2.53,17.3%,8.2%,3.4,48.3%,51.6%,57.8%,55.7%,51.6%,5.0%,8.4,5.4,0.1%,20.0%,6.2%,69.9%,18.1%,21.6%,35.7%,13.7%,24.1%,0.5%,25.0%,141,122
61,Emma Raducanu,47,10,4.5%,4.6%,66.8%,63.9%,45.4%,13.8%,17.7%,7.2%,5.4%,97.9,100.3,95.2,88.0,90.2,86.3,4.0%,58.7%,3.4%,59.3%,45.1%,43.3%,49.1%,26.5%,37.3%,53.2%,38.8%,32.8%,20.0%,24.3%,40.0%,61,75.3%,52.1%,2.46,13.1%,6.7%,4.3,52.8%,49.6%,48.5%,50.2%,51.3%,10.6%,5.8,3.5,0.1%,100.0%,6.2%,65.1%,12.4%,22.2%,17.4%,9.7%,24.4%,0.9%,39.2%,-26,-6
82,Marketa Vondrousova,48,6,3.6%,7.1%,59.9%,65.1%,47.0%,14.4%,17.2%,6.6%,4.8%,95.7,100.2,95.8,81.9,84.1,80.2,2.3%,57.3%,3.4%,59.0%,46.9%,46.9%,49.6%,25.6%,34.7%,50.7%,1.3%,40.4%,16.6%,23.0%,47.8%,41,76.7%,51.9%,2.43,17.3%,6.4%,4.4,51.2%,50.3%,49.7%,49.1%,51.4%,20.9%,4.0,1.9,0.0%,0.0%,7.7%,71.9%,10.5%,21.7%,6.0%,6.5%,16.6%,3.3%,34.7%,-46,-24
70,Anastasia Pavlyuchenkova,49,11,3.8%,6.9%,61.5%,65.4%,44.4%,16.9%,19.3%,7.8%,4.7%,98.6,101.5,96.1,84.6,88.9,86.3,3.5%,57.8%,2.8%,56.0%,43.1%,44.1%,46.5%,26.9%,39.6%,48.8%,24.2%,37.7%,17.0%,25.4%,42.6%,43,67.3%,53.8%,2.50,11.2%,9.9%,3.5,47.8%,49.1%,50.7%,51.2%,50.9%,8.1%,8.1,1.7,0.2%,88.9%,8.9%,67.5%,15.9%,22.6%,16.5%,11.6%,27.2%,1.7%,38.4%,57,56
154,Victoria Azarenka,50,1,3.3%,6.1%,66.4%,65.6%,44.5%,15.0%,15.6%,5.7%,4.9%,96.3,100.1,95.2,83.1,84.3,84.0,2.8%,59.7%,2.3%,58.4%,47.8%,49.2%,48.6%,25.6%,35.1%,51.5%,16.0%,24.0%,17.4%,22.1%,42.6%,48,72.7%,54.8%,2.43,10.2%,9.3%,4.1,50.3%,52.7%,51.3%,49.9%,52.4%,12.3%,5.5,5.9,0.0%,100.0%,8.5%,72.1%,11.1%,15.9%,7.4%,10.7%,23.8%,0.8%,38.1%,-26,-12
70,Veronika Kudermetova,51,9,6.6%,3.7%,58.9%,67.1%,46.4%,16.8%,20.8%,7.5%,4.6%,103.0,105.1,99.3,80.7,85.0,80.8,6.3%,57.1%,4.4%,56.1%,42.5%,43.4%,44.0%,32.5%,46.5%,48.4%,43.1%,52.5%,16.2%,22.8%,38.7%,1,66.8%,53.9%,2.39,21.4%,10.9%,3.7,49.3%,47.7%,46.7%,48.3%,48.9%,11.8%,5.5,0.9,0.1%,66.7%,7.8%,66.1%,15.6%,27.0%,18.3%,10.5%,25.6%,1.1%,25.3%,67,59
31,Camila Osorio,52,33,1.6%,6.8%,65.2%,60.0%,42.3%,12.4%,19.6%,7.2%,4.6%,89.5,94.6,87.0,80.9,79.6,80.5,1.5%,53.5%,1.6%,53.7%,48.3%,48.3%,47.3%,20.0%,28.9%,50.1%,61.9%,16.7%,19.1%,24.2%,41.1%,60,75.7%,54.2%,2.47,8.8%,11.2%,4.3,49.9%,50.5%,50.1%,54.0%,53.2%,29.1%,5.5,4.4,0.0%,-,6.2%,76.4%,12.3%,21.6%,15.9%,9.5%,31.0%,3.3%,26.9%,-22,-13
22,Alycia Parks,53,40,10.0%,11.8%,54.7%,68.5%,41.8%,20.1%,25.1%,10.1%,6.0%,110.8,114.8,105.9,97.5,99.2,97.2,8.3%,55.1%,7.5%,57.2%,41.1%,42.0%,46.1%,37.9%,52.2%,47.8%,76.3%,22.6%,28.1%,39.6%,43.4%,117,64.4%,55.0%,2.42,30.2%,7.5%,2.9,48.5%,50.6%,52.0%,49.3%,50.9%,12.2%,7.0,1.0,1.5%,78.9%,10.1%,64.8%,20.7%,26.4%,23.7%,12.3%,20.5%,1.9%,28.8%,176,180
8,Polina Kudermetova,54,54,4.2%,7.1%,55.6%,64.0%,42.5%,14.7%,19.8%,8.4%,5.1%,N/A,N/A,N/A,N/A,N/A,N/A,7.0%,61.9%,3.8%,53.0%,36.4%,41.7%,45.9%,31.5%,47.1%,50.7%,27.4%,58.0%,24.6%,32.0%,39.2%,73,63.9%,51.5%,2.58,13.7%,17.9%,3.0,46.9%,50.8%,52.1%,46.2%,50.5%,11.5%,7.9,6.4,0.0%,-,4.6%,76.5%,21.2%,29.6%,40.0%,14.9%,26.0%,3.1%,35.0%,129,108
113,Naomi Osaka,55,1,8.6%,3.5%,57.1%,71.7%,48.3%,17.7%,20.3%,7.9%,5.5%,103.5,108.9,100.1,80.9,84.8,81.9,8.0%,61.4%,6.4%,59.2%,41.9%,43.4%,46.8%,38.1%,50.1%,53.2%,20.5%,34.2%,16.9%,24.6%,39.7%,-9,68.9%,51.9%,2.45,23.5%,13.1%,3.6,51.5%,48.5%,52.0%,51.9%,47.0%,3.2%,6.6,2.6,0.1%,75.0%,5.5%,69.3%,17.5%,26.4%,22.9%,11.8%,26.7%,0.4%,33.7%,68,70
52,Katerina Siniakova,56,27,3.3%,6.1%,61.9%,62.2%,44.4%,13.7%,20.4%,5.7%,5.9%,96.1,99.5,94.9,81.9,82.9,85.1,3.6%,56.0%,2.7%,55.5%,42.4%,45.6%,47.0%,20.5%,29.4%,49.3%,21.1%,21.8%,16.3%,22.2%,42.6%,38,76.7%,51.2%,2.51,7.3%,7.5%,4.5,47.4%,48.0%,50.8%,53.2%,50.7%,8.3%,0.0,5.2,0.7%,50.0%,8.7%,64.1%,8.8%,14.9%,9.4%,11.7%,22.7%,1.6%,35.4%,-3,-1
52,Marie Bouzkova,57,24,2.8%,3.6%,65.6%,63.0%,47.3%,11.9%,15.1%,6.3%,4.1%,92.4,95.3,89.5,73.8,76.9,74.7,2.3%,56.8%,1.3%,56.0%,45.8%,46.3%,47.1%,21.1%,30.4%,49.3%,38.1%,43.8%,17.4%,20.4%,42.5%,11,75.6%,48.7%,2.43,11.7%,7.8%,4.7,50.4%,49.2%,46.7%,43.6%,48.5%,10.9%,1.4,2.9,0.9%,71.0%,9.3%,70.0%,9.3%,16.2%,8.8%,7.0%,20.6%,1.1%,28.8%,-64,-56
19,Lucia Bronzetti,58,46,2.8%,3.4%,61.1%,61.7%,46.1%,9.7%,15.1%,5.9%,2.7%,95.2,98.9,93.3,81.0,83.0,79.9,2.1%,54.8%,1.4%,53.5%,45.6%,45.0%,45.7%,21.2%,30.4%,49.4%,8.2%,71.1%,15.4%,19.3%,38.9%,15,71.5%,48.5%,2.47,12.8%,9.6%,4.8,48.3%,44.8%,53.0%,38.8%,56.7%,7.3%,3.8,0.6,0.0%,-,5.2%,60.5%,9.8%,14.9%,6.1%,4.5%,17.6%,0.7%,25.0%,-90,-78
6,Sonay Kartal,59,59,1.8%,2.6%,67.7%,61.4%,48.2%,9.3%,15.0%,6.8%,2.1%,98.1,101.9,96.6,77.6,80.0,76.8,2.1%,56.2%,0.9%,55.8%,40.5%,43.5%,43.7%,26.3%,32.7%,43.0%,4.1%,67.7%,14.5%,18.1%,44.9%,-22,76.7%,50.8%,2.54,12.4%,4.9%,4.4,50.1%,47.7%,43.9%,54.6%,49.6%,24.9%,5.7,1.1,0.0%,-,4.5%,67.5%,13.1%,23.3%,14.3%,6.1%,43.5%,0.5%,37.5%,-88,-60
10,Moyuka Uchijima,60,51,3.7%,7.3%,56.6%,62.6%,43.3%,10.9%,18.3%,7.7%,3.1%,97.9,99.3,97.0,83.1,87.3,85.0,1.8%,54.7%,1.6%,47.5%,43.0%,45.8%,47.1%,21.5%,31.8%,50.5%,25.5%,16.4%,17.4%,21.3%,41.4%,47,69.9%,51.0%,2.44,13.2%,11.3%,4.6,48.6%,48.5%,47.2%,54.1%,54.8%,6.8%,7.9,-0.2,0.2%,100.0%,8.5%,63.8%,14.0%,19.2%,12.6%,5.2%,17.6%,0.8%,30.8%,-36,-31
22,Mayar Sherif,61,31,3.0%,2.4%,72.0%,60.8%,45.3%,14.4%,18.4%,8.2%,3.6%,96.4,102.8,89.3,83.2,84.6,81.7,2.1%,59.8%,2.4%,59.9%,43.7%,44.4%,47.8%,19.8%,30.8%,49.5%,12.0%,57.3%,15.5%,23.6%,42.8%,-16,75.9%,45.7%,2.39,6.2%,4.3%,4.5,48.9%,47.7%,47.2%,45.0%,57.4%,12.0%,4.3,-2.3,0.4%,83.3%,9.9%,67.4%,12.1%,15.9%,6.4%,8.1%,20.7%,3.1%,36.7%,-8,-15
12,Kimberly Birrell,62,61,2.9%,6.3%,62.6%,62.7%,45.2%,12.8%,20.1%,6.8%,6.1%,95.7,97.2,92.1,77.5,73.3,70.5,1.4%,54.4%,1.3%,54.6%,42.1%,43.8%,45.0%,21.0%,30.1%,46.7%,33.0%,38.8%,11.0%,16.1%,42.0%,-17,66.7%,52.0%,2.44,8.2%,10.1%,4.6,41.8%,46.2%,54.1%,53.6%,49.6%,2.2%,3.7,2.1,0.0%,-,7.3%,62.1%,10.9%,21.3%,5.0%,7.5%,23.7%,0.1%,0.0%,-31,-24
18,Ann Li,63,44,3.2%,3.5%,61.1%,63.5%,47.2%,14.1%,21.0%,7.4%,2.7%,96.8,100.6,92.0,76.8,81.2,74.5,2.5%,56.6%,1.6%,54.4%,46.2%,46.3%,46.8%,26.3%,37.7%,51.9%,16.2%,71.2%,15.9%,22.8%,38.6%,-9,70.4%,51.2%,2.55,11.5%,11.7%,3.8,48.2%,47.8%,54.9%,53.3%,56.5%,18.7%,6.6,-0.1,0.2%,50.0%,7.5%,75.1%,16.2%,30.1%,18.6%,8.9%,31.4%,0.8%,40.6%,52,37
12,Viktoriya Tomova,64,46,1.7%,4.3%,66.2%,57.4%,42.7%,9.5%,15.2%,4.7%,4.5%,91.8,96.9,92.4,78.0,81.9,77.3,1.2%,54.6%,0.8%,54.0%,48.7%,48.1%,43.8%,19.4%,27.0%,46.4%,51.5%,26.6%,14.5%,18.5%,37.6%,24,78.0%,49.1%,2.58,6.7%,9.8%,5.0,46.9%,44.6%,44.4%,52.7%,47.7%,10.2%,0.7,0.9,0.0%,-,5.2%,69.0%,6.9%,10.1%,7.7%,6.6%,22.9%,1.9%,45.7%,-86,-75
27,Anhelina Kalinina,65,25,2.5%,5.5%,62.8%,61.3%,44.3%,13.0%,19.6%,6.4%,5.6%,96.6,99.0,94.2,82.3,90.0,83.0,2.1%,54.6%,1.5%,54.3%,46.6%,45.8%,43.4%,22.7%,32.0%,46.3%,19.5%,42.1%,16.7%,22.9%,38.4%,48,74.0%,51.4%,2.48,9.2%,10.8%,4.3,46.9%,46.7%,45.6%,52.7%,48.6%,5.8%,5.0,1.8,0.0%,-,6.8%,68.2%,11.7%,17.4%,11.5%,9.5%,22.8%,1.8%,29.9%,-10,-11
12,Jaqueline Cristian,66,57,4.0%,4.7%,59.0%,63.4%,45.7%,13.5%,20.4%,7.3%,4.3%,101.1,101.4,94.9,84.4,90.6,83.3,2.3%,56.8%,2.1%,54.7%,47.0%,47.8%,46.0%,25.7%,36.2%,46.8%,36.7%,29.6%,17.1%,21.0%,44.9%,25,72.6%,47.0%,2.40,13.3%,8.2%,4.5,46.9%,46.9%,49.2%,42.3%,53.9%,9.6%,2.3,-0.6,0.0%,-,7.2%,72.9%,10.8%,15.0%,21.6%,6.8%,15.6%,0.7%,30.8%,-31,-24
27,Varvara Gracheva,67,39,2.3%,4.4%,62.1%,60.4%,45.9%,11.9%,20.6%,5.7%,4.1%,99.0,102.2,96.6,78.7,81.4,79.2,2.3%,55.8%,1.6%,54.0%,45.7%,46.6%,45.4%,22.1%,31.0%,47.7%,16.6%,56.7%,15.7%,19.9%,41.8%,24,72.6%,51.5%,2.52,11.4%,8.3%,4.5,48.2%,47.1%,51.7%,47.0%,50.8%,8.3%,1.7,3.0,0.0%,-,7.5%,67.0%,11.2%,21.1%,17.5%,9.5%,26.0%,0.6%,34.9%,8,4
11,Eva Lys,68,68,0.9%,5.1%,67.9%,57.2%,46.2%,13.4%,21.3%,9.0%,4.9%,85.5,86.6,84.3,78.8,78.6,80.0,0.4%,50.3%,1.1%,52.4%,44.1%,44.6%,47.2%,16.8%,27.6%,49.9%,46.6%,26.1%,18.2%,26.6%,41.0%,58,75.5%,54.2%,2.56,8.7%,8.8%,4.6,47.8%,49.3%,50.5%,50.0%,47.5%,2.7%,7.2,4.6,0.0%,-,5.1%,61.8%,15.1%,25.1%,14.3%,9.8%,19.1%,0.1%,66.7%,-5,-11
14,Suzan Lamens,69,64,3.4%,6.5%,61.8%,62.1%,41.9%,13.5%,22.8%,8.9%,3.3%,N/A,N/A,N/A,N/A,N/A,N/A,2.8%,54.0%,1.6%,55.4%,46.6%,48.1%,51.5%,27.5%,40.2%,55.0%,42.0%,21.8%,20.9%,25.4%,44.5%,70,74.2%,54.8%,2.40,27.0%,6.8%,4.6,51.9%,54.6%,52.2%,49.8%,53.3%,9.7%,6.8,-0.1,0.0%,-,6.5%,73.3%,12.7%,18.5%,22.1%,5.1%,20.9%,0.8%,38.2%,-25,2
10,Renata Zarazua,70,51,0.8%,4.4%,71.0%,56.4%,43.2%,10.7%,17.6%,3.3%,4.8%,87.1,88.4,83.8,77.4,76.9,78.3,0.4%,53.6%,0.2%,51.8%,47.5%,47.9%,48.3%,13.4%,23.9%,50.3%,35.3%,30.8%,15.0%,19.5%,42.5%,26,77.5%,47.9%,2.49,5.9%,7.6%,4.9,47.2%,48.7%,49.3%,43.5%,49.8%,15.0%,-0.5,1.5,0.0%,-,6.2%,69.0%,6.6%,15.1%,0.0%,8.1%,18.9%,2.3%,36.4%,-52,-53
20,Caroline Dolehide,71,41,3.5%,4.9%,68.5%,62.2%,45.5%,13.6%,20.0%,10.3%,2.1%,98.7,102.1,94.6,84.5,84.4,88.1,3.6%,57.1%,2.5%,58.7%,44.2%,44.1%,47.1%,30.7%,44.3%,50.9%,49.4%,44.0%,22.5%,32.9%,37.7%,93,70.7%,51.6%,2.40,7.8%,7.7%,3.5,52.0%,50.8%,42.6%,51.3%,57.2%,33.1%,5.8,0.3,2.1%,73.3%,8.5%,64.0%,17.6%,27.0%,15.3%,9.1%,32.0%,0.5%,26.3%,19,35
8,Alexandra Eala,72,72,1.2%,6.5%,63.4%,53.4%,38.8%,14.3%,15.7%,8.3%,6.1%,N/A,N/A,N/A,N/A,N/A,N/A,1.9%,53.8%,1.6%,60.6%,43.6%,50.2%,51.9%,23.8%,34.6%,50.5%,11.1%,38.2%,18.0%,28.7%,55.0%,51,77.5%,55.7%,2.41,7.3%,7.4%,4.2,50.3%,55.8%,51.6%,58.1%,60.3%,5.3%,9.7,9.5,0.0%,-,6.1%,76.3%,15.1%,25.4%,11.5%,12.9%,23.1%,0.9%,50.0%,-2,5
5,Jessica Bouzas Maneiro,73,52,1.5%,7.1%,61.4%,57.7%,41.9%,12.6%,20.0%,7.5%,5.1%,94.1,99.1,91.6,80.4,80.3,82.5,1.4%,56.5%,3.3%,56.6%,46.1%,48.8%,52.0%,15.5%,28.4%,54.9%,52.6%,50.0%,23.8%,30.0%,44.3%,98,74.4%,55.4%,2.56,16.5%,8.8%,4.0,49.7%,55.4%,57.4%,37.2%,54.7%,14.7%,12.0,6.8,0.0%,-,8.1%,67.3%,16.9%,20.7%,12.0%,13.7%,40.0%,1.5%,26.7%,30,22
38,Irina Camelia Begu,74,22,3.4%,5.8%,63.8%,62.1%,45.3%,13.4%,20.6%,6.3%,4.4%,98.9,101.2,97.3,85.8,87.4,87.2,3.3%,55.8%,2.0%,55.5%,43.3%,43.8%,46.7%,23.7%,32.0%,48.7%,61.4%,35.3%,20.0%,25.1%,42.6%,71,71.5%,51.5%,2.45,9.8%,6.9%,4.3,48.5%,48.0%,49.1%,49.8%,53.1%,8.9%,4.0,-00,0.1%,100.0%,7.0%,65.4%,10.8%,17.8%,8.5%,8.3%,20.5%,1.1%,32.4%,-2,8
31,Anna Blinkova,75,35,3.5%,7.0%,60.1%,61.0%,42.3%,13.7%,18.1%,5.9%,4.6%,95.7,102.8,93.7,80.9,85.4,82.9,3.1%,54.6%,2.8%,54.1%,43.2%,46.9%,44.5%,27.2%,38.5%,48.1%,32.1%,30.0%,18.4%,25.8%,38.8%,58,73.3%,52.5%,2.52,7.7%,14.1%,3.8,49.6%,48.9%,46.5%,43.0%,50.0%,7.0%,4.8,6.0,0.8%,70.6%,7.4%,67.6%,14.1%,23.6%,10.5%,10.9%,30.2%,1.0%,34.8%,-5,11
31,Bernarda Pera,76,27,4.4%,6.8%,61.1%,64.0%,44.8%,13.5%,22.3%,7.3%,3.6%,95.7,98.7,93.9,82.9,86.7,81.1,3.3%,56.9%,3.3%,59.0%,44.6%,44.4%,45.9%,27.1%,38.4%,47.1%,13.7%,63.2%,20.5%,27.5%,43.5%,77,64.4%,53.3%,2.43,9.1%,7.5%,3.6,47.0%,48.6%,49.0%,47.8%,52.4%,12.1%,3.9,2.8,0.0%,100.0%,5.9%,66.9%,14.2%,22.2%,11.0%,10.4%,21.8%,1.1%,33.8%,49,50
6,Zeynep Sonmez,77,77,1.1%,6.0%,60.9%,60.1%,42.6%,9.8%,21.2%,5.6%,4.6%,N/A,N/A,N/A,N/A,N/A,N/A,0.2%,51.1%,0.8%,50.2%,43.3%,44.9%,43.6%,21.6%,31.5%,46.7%,35.0%,41.5%,22.4%,22.4%,38.1%,90,74.2%,53.7%,2.61,9.0%,8.1%,4.1,47.0%,52.0%,51.1%,43.3%,49.2%,4.6%,2.9,1.2,0.0%,-,9.1%,69.6%,11.5%,16.3%,0.0%,6.6%,18.4%,1.2%,20.0%,-2,2
6,Maya Joint,78,78,1.6%,4.9%,63.0%,58.6%,52.1%,12.3%,21.2%,7.3%,5.2%,90.5,91.6,87.8,76.8,81.1,76.0,1.6%,56.8%,0.4%,50.7%,46.3%,42.0%,47.0%,19.0%,29.3%,46.4%,14.6%,43.1%,14.2%,19.8%,48.4%,17,70.0%,56.0%,2.40,6.2%,8.0%,4.2,49.5%,45.2%,53.1%,55.1%,45.0%,6.1%,8.5,4.1,0.0%,-,6.7%,57.1%,13.1%,16.7%,0.0%,10.9%,33.9%,1.0%,7.7%,27,19
41,Ajla Tomljanovic,79,32,4.4%,6.4%,60.0%,64.4%,43.4%,12.0%,19.7%,4.9%,4.4%,100.4,102.4,99.1,82.8,85.0,86.1,4.0%,55.3%,3.5%,54.9%,44.8%,44.5%,43.6%,25.8%,35.8%,46.8%,51.4%,13.7%,18.0%,21.4%,38.4%,57,66.8%,52.6%,2.46,13.1%,9.3%,4.2,47.7%,45.8%,47.4%,47.1%,51.0%,16.1%,1.1,4.6,0.1%,0.0%,5.7%,63.2%,9.2%,15.6%,13.3%,9.0%,24.2%,0.9%,47.5%,-26,-14
21,Katie Volynets,80,56,1.2%,2.8%,74.1%,56.7%,44.1%,9.5%,16.4%,5.0%,4.1%,90.2,93.4,89.2,79.0,82.7,81.3,1.4%,54.3%,1.5%,54.3%,45.7%,43.7%,46.9%,18.1%,24.0%,49.1%,25.0%,24.5%,14.2%,18.6%,39.5%,14,78.3%,52.2%,2.51,6.2%,8.3%,5.2,49.2%,49.1%,51.5%,50.1%,52.8%,10.7%,4.5,3.3,0.0%,-,6.9%,60.8%,8.2%,13.1%,11.1%,8.0%,19.7%,0.2%,29.4%,-78,-74
30,Tatjana Maria,81,42,5.3%,4.1%,55.7%,64.4%,44.9%,12.0%,12.8%,6.5%,2.8%,101.9,106.7,97.4,77.2,85.7,76.1,5.6%,58.0%,4.3%,55.8%,41.4%,42.2%,46.0%,32.2%,43.1%,53.2%,41.0%,43.9%,15.1%,19.2%,38.1%,16,81.2%,46.7%,2.42,21.2%,11.1%,4.4,54.0%,44.7%,45.5%,43.2%,46.4%,79.3%,4.9,-1.5,0.8%,58.8%,14.7%,62.2%,15.0%,27.4%,15.8%,11.2%,23.7%,1.6%,31.7%,-87,-57
113,Maria Sakkari,82,3,4.9%,5.0%,60.3%,65.5%,47.0%,14.4%,19.8%,7.5%,3.9%,101.5,107.1,96.1,85.0,88.9,84.6,4.1%,56.3%,2.6%,56.6%,44.0%,44.4%,47.0%,29.4%,40.8%,50.0%,22.0%,39.9%,15.7%,22.1%,42.8%,40,72.3%,51.8%,2.45,13.3%,8.9%,4.1,49.0%,50.1%,50.7%,50.0%,52.6%,7.5%,4.2,2.4,0.0%,100.0%,6.7%,67.1%,13.0%,18.2%,11.0%,9.1%,25.1%,1.2%,35.2%,5,13
12,Kamilla Rakhimova,83,60,1.9%,5.6%,57.7%,61.4%,45.6%,10.4%,17.6%,4.9%,3.4%,95.1,97.6,93.3,79.3,81.4,78.4,1.4%,56.1%,1.8%,55.2%,44.7%,42.9%,45.2%,25.4%,34.6%,49.1%,11.2%,34.8%,19.9%,23.2%,39.8%,39,70.1%,49.0%,2.53,12.1%,13.6%,4.0,47.0%,47.2%,53.9%,45.2%,47.8%,7.4%,3.3,0.4,0.2%,100.0%,3.7%,68.2%,10.9%,18.1%,10.4%,6.5%,25.9%,1.8%,37.0%,-23,-12
3,Emiliana Arango,84,79,1.0%,5.8%,67.3%,58.3%,41.8%,5.4%,25.2%,3.4%,2.1%,N/A,N/A,N/A,N/A,N/A,N/A,2.1%,53.5%,0.8%,56.4%,46.3%,46.2%,35.3%,20.7%,28.8%,39.8%,16.1%,68.0%,19.6%,21.4%,26.7%,47,73.0%,50.4%,2.21,3.6%,4.1%,4.7,50.9%,44.9%,37.0%,35.6%,61.5%,33.1%,-4.0,-7.4,0.0%,-,6.3%,77.3%,6.1%,12.4%,8.3%,3.5%,11.5%,0.6%,0.0%,-51,-39
52,Sara Sorribes Tormo,85,32,0.7%,6.8%,67.9%,56.3%,40.7%,8.7%,14.5%,5.2%,3.0%,89.8,93.3,89.3,76.9,74.9,77.3,0.7%,50.2%,0.4%,50.0%,47.3%,48.4%,44.5%,13.6%,17.8%,46.0%,49.8%,25.8%,11.8%,13.4%,40.4%,-6,86.1%,50.1%,2.47,3.4%,7.3%,6.2,50.2%,46.7%,47.6%,47.2%,54.3%,43.5%,2.7,-1.2,2.6%,66.3%,10.2%,67.5%,5.4%,7.6%,2.6%,4.9%,17.0%,1.0%,37.6%,-142,-128
3,Hailey Baptiste,86,80,5.5%,6.4%,54.8%,68.2%,46.3%,16.3%,21.5%,7.8%,2.6%,105.3,114.0,97.7,88.3,98.0,92.3,7.0%,60.5%,3.7%,57.8%,47.8%,43.0%,48.8%,39.6%,56.0%,54.3%,43.1%,37.3%,22.5%,30.4%,43.0%,32,69.2%,45.7%,2.46,22.5%,17.1%,3.2,48.2%,51.0%,55.0%,42.9%,48.6%,23.9%,6.5,-2.2,3.5%,87.5%,7.8%,68.4%,22.9%,18.3%,12.5%,10.7%,34.5%,2.0%,25.0%,111,114
66,Arantxa Rus,87,41,2.8%,5.6%,67.7%,59.7%,43.6%,11.2%,20.3%,6.6%,2.5%,96.3,102.4,96.6,82.5,86.1,83.3,2.1%,54.2%,1.8%,56.3%,45.6%,45.0%,48.3%,20.3%,28.5%,49.7%,51.5%,17.5%,17.0%,21.9%,44.4%,48,76.6%,51.5%,2.35,7.7%,5.3%,5.0,53.3%,48.7%,47.3%,48.4%,55.5%,7.9%,4.7,-0.9,0.0%,-,6.2%,65.5%,10.3%,16.7%,9.0%,5.0%,12.1%,0.0%,25.0%,-58,-46
5,Anca Alexia Todoni,88,83,4.5%,3.0%,57.6%,64.1%,48.2%,12.8%,16.3%,8.2%,2.8%,105.0,105.9,102.3,90.6,101.0,,4.7%,58.8%,5.1%,54.1%,35.3%,34.3%,46.1%,28.9%,40.5%,48.9%,18.2%,64.3%,13.6%,17.6%,42.6%,-23,59.5%,47.2%,2.50,17.0%,7.5%,3.5,45.1%,50.3%,44.1%,41.9%,52.6%,10.3%,5.9,0.4,0.0%,-,7.0%,75.0%,16.7%,20.8%,30.8%,9.3%,52.0%,0.6%,20.0%,36,19
15,Elisabetta Cocciaretto,89,29,1.7%,4.3%,66.3%,60.3%,47.0%,12.0%,18.9%,6.2%,3.6%,93.3,94.8,90.8,82.5,84.2,81.9,1.9%,52.9%,1.5%,53.3%,45.8%,40.6%,46.9%,20.0%,28.3%,47.2%,30.4%,37.9%,17.7%,24.1%,46.1%,41,73.8%,49.7%,2.50,6.5%,8.6%,4.4,48.3%,48.0%,48.2%,50.4%,48.8%,6.8%,5.4,1.5,0.0%,-,5.1%,78.9%,12.0%,24.4%,6.7%,9.0%,25.3%,0.4%,33.3%,-26,-22
17,Elena Gabriela Ruse,90,51,3.4%,7.1%,56.4%,62.9%,41.9%,13.4%,23.3%,7.6%,5.3%,99.9,103.0,96.1,84.3,84.0,83.9,2.4%,55.2%,1.5%,54.3%,47.8%,48.5%,42.8%,26.2%,36.0%,46.9%,12.9%,59.1%,13.5%,19.6%,37.6%,15,69.2%,54.8%,2.60,9.5%,11.5%,3.8,45.2%,47.8%,53.3%,48.5%,46.7%,8.1%,2.9,3.3,0.0%,-,5.6%,71.2%,13.1%,21.7%,16.7%,11.0%,32.5%,1.2%,43.9%,50,43
